,"peak022","peak095","peak121","peak123","peak144","peak170","peak178","peak181","peak197","peak254","peak270","peak359","peak387","peak415","peak434","peak454","Population","Tratamento","Group"
"CTC-ctl_07-03-16",0,0,0.003259798,0,0,0,0,0,0,0,0,0,0.001936958,0,0.001833133,0,"CTC","ctl","CTC-ctl"
"CTC-ctl_14-03-16",0,0.001078945,0.001519999,0,0,0,0,0,0.0006938963,0,0.0006887835,0.0006096913,0.003441328,0,0.0007861262,0,"CTC","ctl","CTC-ctl"
"CTC-ctl_29-02-16",0,0,0.002461795,0,0,0,0,0.003270478,0,0,0.001754959,0.001825522,0.002240347,0,0.0009879163,0,"CTC","ctl","CTC-ctl"
"CTC-met_07-03-16",0,0.008440357,0,0.001206331,0.004452225,0.006558284,0.01038536,0.003718954,0.00146412,0,0.0006497268,0.0007386012,0.001525565,0.001672841,0,0,"CTC","met","CTC-met"
"CTC-met_14-03-16",0,0.004748855,0,0.0008446968,0.001642331,0.007256996,0.00449316,0.00571675,0,0.001082247,0,0.0009270084,0,0.006345042,0,0.002326427,"CTC","met","CTC-met"
"CTC-met_22-02-16",0,0.003347885,0,0.002671788,0.001573469,0.001659757,0.002110304,0.004686021,0,0,0,0.001235736,0,0.0008412987,0,0,"CTC","met","CTC-met"
"CTC-met_29-02-16",0,0.005643756,0,0.0006822829,0.001205038,0.0009384811,0.0009790151,0.01057481,0,0,0,0.00236299,0.001232878,0.001898505,0,0,"CTC","met","CTC-met"
"CTL-ctl_04-03-16",0,0.00244839,0,0,0,0.001879751,0.0007680328,0.0007870235,0.0008077306,0.001412505,0.03291601,0,0.002200151,0,0.0006438009,0.009182257,"CTL","ctl","CTL-ctl"
"CTL-ctl_11-03-16",0.0005106703,0.007378929,0,0,0,0.002722387,0,0,0.0008906643,0.002264584,0.002467228,0,0.005640029,0.0006903156,0,0.002770219,"CTL","ctl","CTL-ctl"
"CTL-ctl_19-02-16",0.0006908,0.003679033,0,0.003023732,0.0008682258,0.00392373,0,0,0.0007668657,0.009544465,0.001662162,0,0.009480362,0.001354345,0,0.00116807,"CTL","ctl","CTL-ctl"
"CTL-ctl_26-02-16",0.009679124,0.007530312,0,0.001331167,0.001260971,0.00322601,0.0006118985,0,0.0007232395,0.0007674332,0.002336396,0,0.004441622,0,0,0.002693361,"CTL","ctl","CTL-ctl"
"CTL-met_04-03-16",0,0.001548291,0,0,0,0.002236169,0,0.009144686,0,0,0.02896322,0,0.00429621,0,0,0,"CTL","met","CTL-met"
"CTL-met_11-03-16",0,0.001706411,0,0,0.0007625565,0,0.001600007,0.003348138,0,0.003513375,0.002034676,0,0.001542109,0,0,0.0009427878,"CTL","met","CTL-met"
"CTL-met_19-02-16",0,0.0008404694,0,0,0.001178567,0.0008603293,0,0.002385075,0,0.00137131,0.001494709,0,0.001882443,0,0,0,"CTL","met","CTL-met"
"CTL-met_26-02-16",0,0.002121396,0,0,0,0.001209808,0,0.004908364,0,0.00192404,0.00106545,0,0.002334572,0,0,0,"CTL","met","CTL-met"
