,"peak165","peak167","peak168","peak171","peak172","peak181","peak186","peak190","peak191","peak192","peak193","peak194","peak195","peak197","peak265","peak266","peak276","peak284","peak288","peak290","peak292","peak293","peak316","peak317","peak319","peak320","peak321","peak322","peak323","peak324","peak325","peak327","peak330","peak332","peak334","peak335","peak336","peak337","peak356","peak357","peak358","peak359","peak360","peak367","peak368","peak381","peak383","peak384","peak424","peak425","peak538","peak581","Population","Tratamento","Group"
"CTL-ctl_19-02-16",0.0039965,0.0035347,0.0023908,0.0043266,0.0054219,0.00084498,0.0010988,0.0034908,0.0031479,0.00343,0.0025172,0.0025012,0.00089821,0.00035452,0.00039113,0.0011042,0.00058015,0.00054754,0.00085557,0.0010025,0.0011422,0.00066679,0.0012508,0.00064444,0.00077176,0.0011086,0.0015058,0.0016073,0.00082783,0.0011044,0.0011313,0.0014475,0.0025627,0.0024244,0.0019939,0.0021171,0.0012819,0.001099,0.00085203,0.00083627,0.00099827,0.00088525,0.00073319,0.00077099,0.0011784,0.0011696,0.0019165,0.0022237,0.00032959,0.00037583,0.00019231,-6.6504e-05,"CTL","ctl","CTL-ctl"
"CTL-ctl_26-02-16",0.0039647,0.003198,0.0021155,0.0042462,0.0039275,0.00072374,0.00083739,0.0034646,0.0030189,0.0033815,0.0023327,0.0024751,0.0006835,0.00034721,0.00053692,0.0013172,0.00073732,0.00079813,0.0011514,0.00136,0.0017499,0.0012534,0.0011982,0.00067084,0.00087512,0.001185,0.0014946,0.0015612,0.00085836,0.0010093,0.0010329,0.0013658,0.0023823,0.0021188,0.0016007,0.0020877,0.0013216,0.0011007,0.00085264,0.00074614,0.00078467,0.00070143,0.00058092,0.00066467,0.00098599,0.00090969,0.0015599,0.0016945,0.00020017,0.00022727,0.00016907,-8.306e-05,"CTL","ctl","CTL-ctl"
"CTL-ctl_04-03-16",0.0044274,0.0036327,0.0023776,0.0048541,0.0046537,0.00076449,0.00096695,0.0038413,0.0033895,0.0038464,0.0026547,0.0027914,0.00083868,0.00035479,0.00054789,0.0013723,0.00074386,0.00087994,0.0014185,0.0015985,0.0019263,0.0012646,0.0014293,0.00080208,0.00095865,0.0012792,0.0015788,0.0018276,0.0010754,0.0012925,0.0012554,0.0015426,0.0029149,0.0025481,0.0021782,0.0023988,0.0013888,0.0012252,0.00080343,0.00071506,0.00080356,0.00074863,0.00058264,0.00065287,0.0010171,0.0010388,0.0016504,0.0018807,0.00035311,0.00029672,0.00014893,-3.0929e-05,"CTL","ctl","CTL-ctl"
"CTL-ctl_11-03-16",0.0041379,0.0036647,0.0023691,0.0041119,0.0052376,0.00089853,0.0010856,0.0039807,0.0034526,0.003852,0.0027221,0.0028661,0.00088827,0.00042405,0.0006351,0.0015824,0.00093146,0.00062384,0.00093899,0.0012156,0.0015122,0.00091573,0.0016232,0.00082366,0.0010813,0.0014709,0.0018017,0.0019112,0.0011816,0.0014659,0.0013878,0.0017107,0.0028517,0.0026452,0.0025707,0.0026739,0.0015995,0.0013754,0.0010171,0.0010819,0.0013412,0.0011452,0.00087782,0.00098213,0.0014727,0.0013067,0.0021012,0.0023886,0.00070698,0.00071306,0.00071188,-3.8332e-05,"CTL","ctl","CTL-ctl"
"CTL-met_04-03-16",0.0017985,0.0018678,0.0011301,0.0024661,0.0021852,0.002854,0.00038823,0.0021821,0.0015663,0.0021538,0.0012783,0.0015681,5.9712e-05,0.00028828,-0.00030484,5.9345e-05,0.00053054,0.00069956,0.0013592,0.002047,0.002026,0.0019683,0.0007509,0.00040946,0.00038138,0.00071003,0.0013418,0.00063435,0.00065574,0.00068714,0.00072603,0.0011054,0.0023687,0.0020529,0.001674,0.0013146,0.00050928,0.0005234,-9.3611e-05,-0.00011614,-9.5087e-05,-8.3096e-05,-0.00019933,-0.00011497,0.00035209,-7.4818e-05,0.00067924,0.00049833,0.00025154,0.00028867,-6.8226e-05,-3.727e-05,"CTL","met","CTL-met"
"CTL-met_11-03-16",0.0025234,0.0025537,0.0016162,0.0030303,0.0045465,0.0029738,0.00062107,0.0026954,0.0023422,0.0025978,0.001956,0.0019975,0.00061693,0.00017032,0.00012702,0.00064983,0.00045171,0.00098514,0.0015582,0.0021463,0.0020136,0.0015187,0.001129,0.00060252,0.00068887,0.00093683,0.0010825,0.0013121,0.00077372,0.000921,0.00089064,0.0010673,0.0022766,0.0020602,0.0021391,0.0026154,0.0013477,0.0010927,0.00070888,0.00060645,0.00065802,0.0006259,0.00051258,0.00036447,0.00073403,0.00081853,0.0013688,0.0015385,0.00028005,0.0002879,-0.00016805,-4.8003e-06,"CTL","met","CTL-met"
"CTL-met_19-02-16",0.001567,0.0013252,0.00087557,0.001217,0.0021494,0.0017447,0.00076279,0.0014997,0.0015002,0.0014004,0.0011254,0.0011334,0.00062119,0.00029686,0.00046215,0.00099173,0.00073625,0.0014882,0.0024599,0.0021082,0.0017978,0.0014711,0.0011812,0.00061623,0.00056187,0.00087693,0.0008929,0.0010353,0.00044993,0.00058679,0.00059701,0.00073176,0.0011461,0.00095418,0.0009274,0.0010058,0.00081594,0.00087085,0.00064008,0.00060374,0.00057836,0.00050582,0.00039949,0.00063683,0.00094599,0.00052859,0.00081885,0.00097532,-4.5524e-07,-3.385e-06,9.4724e-06,-2.3256e-05,"CTL","met","CTL-met"
"CTL-met_26-02-16",0.0019147,0.0016501,0.0010734,0.0016105,0.0028424,0.0025135,0.00074945,0.0015475,0.0014687,0.0015226,0.0012289,0.0012051,0.00058233,0.00023706,0.00034853,0.00078404,0.000659,0.0014022,0.0016193,0.0020725,0.0028469,0.0021375,0.00095576,0.00062334,0.00065354,0.00097712,0.0010267,0.0013709,0.00070412,0.00082275,0.0007432,0.00096067,0.0014798,0.0012546,0.0014127,0.0018829,0.0012981,0.00093096,0.0011725,0.0007074,0.00073856,0.00063,0.00060791,0.00056408,0.00084923,0.00072017,0.001102,0.0012015,0.00017044,0.00015585,7.6232e-05,-4.7902e-05,"CTL","met","CTL-met"
"CTC-ctl_07-03-16",0.0035873,0.0028262,0.0018711,0.0038202,0.0034999,0.00058881,0.00072998,0.0033516,0.0028507,0.0031666,0.0021144,0.0023329,0.00064631,0.00029729,0.00046579,0.0011484,0.00055502,0.0010261,0.0018301,0.0023441,0.0025648,0.0015913,0.0019086,0.00082341,0.0013386,0.0014001,0.0014165,0.001985,0.0013803,0.0016077,0.0014937,0.0016543,0.0033563,0.0030276,0.0034442,0.0037901,0.0016355,0.001301,0.0012482,0.0011272,0.0012022,0.0010246,0.00084679,0.00042635,0.00062565,0.00097287,0.0014138,0.0016548,-2.8169e-05,2.8154e-05,0.00017487,-9.9265e-06,"CTC","ctl","CTC-ctl"
"CTC-ctl_14-03-16",0.0023786,0.0026738,0.0017244,0.0019223,0.0041785,0.00077704,0.00094864,0.0025328,0.0023077,0.0024158,0.0020776,0.0017469,0.00091931,0.00033757,0.00050902,0.0010185,0.00057639,0.0029135,0.0031625,0.0037892,0.0035598,0.0029532,0.001649,0.001102,0.0014671,0.0020696,0.0020958,0.0027806,0.0013769,0.0016565,0.001241,0.0015289,0.0033056,0.0036104,0.0037547,0.0039139,0.0022629,0.0015527,0.002189,0.0017815,0.0018492,0.0016501,0.0014356,0.00052519,0.00075242,0.0010939,0.0018723,0.001985,8.9761e-05,0.00013046,8.9375e-05,-6.1681e-05,"CTC","ctl","CTC-ctl"
